Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
I3499	I3499	GEN72	MathiesonNature2018	Direct: IntCal20	4718	65	2885-2635 calBCE (4176±28 BP, BRAMS-1304)	Croatia_LateC_EBA_Vucedol	Beli Manastir-Popova zemlja	Croatia	45.338767	18.698861	1240K	1	0.647	414043	M	n/a (no relatives detected)	R-M12149	R1b1a1b1b	T2e+152	ds.half	S3499.L1	PASS	substantial.popgen.outlier, mtcontam=[0.964,0.977], Xcontam=[0,0.01]	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.858	0.013	0.777065	-0.005	0.582	0.422	0.014	0.019	0.022	19.2	0.777065	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP_extremehighSteppe	Croatia.Serbia_8100.to.4500BP	0
I2792	I2792	GEN64	MathiesonNature2018	Direct: IntCal20	4676	85	2872-2580 calBCE (4130±35 BP, Poz-90126)	Croatia_Vucedol	Vučedol Tell	Croatia	45.335618	19.060547	1240K	1	0.179147	188299	M	n/a (no relatives detected)	G-Z6484	G2a2a1a2	T2c1d1	ds.half	S2792.L1	PASS	mtcontam=[0.967,0.976]	1	1	1	1	1	Croatia.Serbia	Croatia	N	0.078817	0.961	0.013	0.145606	0.024	0.932	0.043	0.016	0.02	0.024	1.8	0.145606	Use	Croatia.Serbia_8100.to.4500BP	Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	Croatia.Serbia_8100.to.4500BP	0.468476
I4331	I4331	VV1, Grave 2A	MathiesonNature2018	Direct: IntCal20	3519	29	1618-1517 calBCE (3305±20 BP, PSUAMS-2257)	Croatia_MBA	Veliki Vanik	Croatia	43.194	17.344	1240K	1	3.141	711092	M	n/a (no relatives detected)	J-Z38240	J2b2a1a1a1b~	I1a1	ds.half	S4331.E1.L2	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.814	0.012	0.005261	0.052	0.556	0.392	0.013	0.018	0.022	17.8	0.005261	Use	Ignore_Croatia.Serbia_3900.to.2700BP	Ignore_Serbia_3900.to.2700BP	Ignore_Croatia.Serbia_3900.to.2700BP_o	Croatia.Serbia_3900.to.2700BP	0.000522
I4332	I4332	VV3, Grave 2C	MathiesonNature2018	Direct: IntCal20	3508	32	1613-1508 calBCE (3290±20 BP, PSUAMS-2258)	Croatia_MBA	Veliki Vanik	Croatia	43.194	17.344	1240K	1	3.228	729628	F	n/a (no relatives detected)	n/a (female)	n/a (female)	W3a1	ds.half	S4332.E1.L2	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.838	0.012	0.292624	0.039	0.584	0.377	0.013	0.018	0.021	18	0.292624	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.465057
I26726	I26726	G1; P9176_Z-C	This study	Direct: IntCal20	3411	28	1507-1415 calBCE (3190±30 BP, Beta-423457)	Croatia_MBA	Gudnja cave	Croatia	42.833333	17.7	1240K	1	9.93	896713	M	n/a (no relatives detected)	..	..	J1c3	ds.half	S26726.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	MBA	0	0.813	0.013	0.133441	0.021	0.554	0.425	0.014	0.017	0.022	19.3	0.133441	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.623172
I24342	I24342	Tumulus 3, G1; P8545	This study	Direct: IntCal20	3410	23	1501-1421 calBCE (3185±20 BP, UCIAMS-233623)	Croatia_MBA	Velim-Kosa	Croatia	43.90391	15.702382	1240K	1	6.288	820306	M	n/a (no relatives detected)	R-L2	R1b1a1b1a1a2b1	T2b23	ds.half	S24342.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	MBA	0	0.776	0.014	0.105953	0.109	0.517	0.374	0.014	0.019	0.022	17	0.105953	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP_highWHG	Croatia.Serbia_3900.to.2700BP	NA
I26893	I26893	Tumulus MS 07; 111/2; P9223	This study	Context: Archaeological - Period	3325	101	1550-1200 BCE	Croatia_MBA	Mušego/Mon Sego	Croatia	45.068212	13.70839	1240K	1	7.25	861181	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U8b1b1	ds.half	S26893.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.779	0.012	0.254391	0.068	0.513	0.419	0.014	0.018	0.021	20	0.254391	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.009832
I26774	I26774	Tumulus MS 07; lubanja 2, 11; P9211	This study	Context: Archaeological - Period	3325	101	1550-1200 BCE	Croatia_MBA	Mušego/Mon Sego	Croatia	45.068212	13.70839	1240K	1	3.469	827364	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c2	ds.half	S26774.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.78	0.013	0.676328	0.077	0.522	0.401	0.014	0.018	0.021	19.1	0.676328	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.238978
I26773	I26773	Tumulus MS 07; Nebengrab 1, lubanja 1, 9; P9210	This study	Context: Archaeological - Period	3325	101	1550-1200 BCE	Croatia_MBA	Mušego/Mon Sego	Croatia	45.068212	13.70839	1240K	1	1.967	728296	F	n/a (no relatives detected)	n/a (female)	n/a (female)	J1c2	ds.half	S26773.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	C.EBA	0	0.808	0.013	0.122906	0.053	0.536	0.41	0.014	0.019	0.022	18.6	0.122906	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.886359
I18719	I18719	P3779; BzV 10a	This study	Context: Archaeological - Period	3200	144	1500-1000 BCE	Croatia_MBA_LBA	Bezdanjača Cave	Croatia	44.8520052	15.4199444	1240K	2	3.747999	825868	M	n/a (no relatives detected)	I-Y3120	I2a1a2b1a1	HV0a1a	ds.half,ds.half	S18719.Y1.E1.L1,S18719.Y1.E2.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	LBA	0	0.747	0.011	0.245044	0.117	0.496	0.386	0.012	0.016	0.019	20.3	0.245044	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP_lowEEF	Croatia.Serbia_3900.to.2700BP	0.000007
I24345	I24345	Tumulus 2, G1; P8548	This study	Context: Archaeological - Period	2900	318	1500-400 BCE	Croatia_MBA_LBA_EIA	Velim-Kosa	Croatia	43.90391	15.702382	1240K	1	0.057	52173	M	n/a (no relatives detected)	J-L283	J2b2a1	HV0e	ds.half	S24345.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.818	0.022	0.849814	0.022	0.511	0.467	0.025	0.035	0.042	11.1	0.849814	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.813631
I24344	I24344	Tumulus 4; P8547	This study	Context: Archaeological - Period	2900	318	1500-400 BCE	Croatia_MBA_LBA_EIA_lc	Velim-Kosa	Croatia	43.90391	15.702382	1240K	1	0.01	10699	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H13a2a	ds.half	S24344.Y1.E1.L1	PASS	..	0	1	1	1	1	Croatia.Serbia	Croatia	IA	0.000008	0.763	0.046	0.472176	0.073	0.49	0.437	0.055	0.07	0.088	5	0.472176	Do not pool into main transects (<30000 SNPs)	Ignore_Croatia.Serbia_IA	Ignore_Serbia_IA	Ignore_Croatia.Serbia_IA	Croatia.Serbia_IA	0.158649
I23911	I23911	Grave 6; P7737	This study	Direct: IntCal20	2765	17	891-797 calBCE (2660±15 BP, UCIAMS-169832)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	3.229	802764	M	n/a (no relatives detected)	J-Y86930	J2b2a1a1a1b2~	T2a1a	ds.half	S23911.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.837	0.012	0.159558	0.033	0.563	0.403	0.013	0.017	0.02	20.2	0.159558	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.662265
I24883	I24883	Ind 533, Grave 5.184; P8444	This study	Context: Archaeological - Period	2750	29	850-750 BCE 	Croatia_EIA	Osor-St. Peter	Croatia	44.694464	14.3927	1240K	1	0.017	20082	F	n/a (no relatives detected)	n/a (female)	n/a (female)	HV0e	ds.half	S24883.Y1.E1.L1	QUESTIONABLE	mtcontam=[0.704,0.900]	0	0	1	1	1	Croatia.Serbia	Croatia	IA	0	0.817	0.033	0.173491	0.027	0.583	0.391	0.039	0.046	0.059	6.6	0.173491	Do not pool into main transects (<30000 SNPs + QUESTIONABLE)	Ignore_Croatia.Serbia_IA	Ignore_Serbia_IA	Ignore_Croatia.Serbia_IA	Croatia.Serbia_IA	0.120038
I23996	I23996	Grave 9; P7788	This study	Direct: IntCal20	2744	8	809-779 calBCE (2610±20 BP, UCIAMS-172395)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	4.336	752396	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H3b	ds.half	S23996.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.805	0.013	0.5251	0.05	0.578	0.372	0.015	0.018	0.022	16.9	0.5251	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.886177
I23995	I23995	Grave 9A; P7787	This study	Direct: IntCal20	2729	34	810-675 calBCE (2585±25 BP, UCIAMS-169833)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	4.685	793384	M	n/a (no relatives detected)	J-Y86930	J2b2a1a1a1b2~	H3b	ds.half	S23995.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.787	0.013	0.108473	0.057	0.533	0.41	0.015	0.018	0.021	19.5	0.108473	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.278337
I3313	I3313	JAZ1, Trench D, Grave 01	MathiesonNature2018	Direct: IntCal20	2722	39	805-597 calBCE (2570±20 BP, PSUAMS-1831)	Croatia_EIA	Jazinka Cave	Croatia	43.894	15.977	1240K	1	4.612	795643	F	Jazinka Cave Family A (2 members) (I26742-I3313 are son-mother)	n/a (female)	n/a (female)	HV0e	ds.half	S3313.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	LBA	0	0.81	0.012	0.747798	0.032	0.567	0.402	0.014	0.017	0.02	20.1	0.747798	Use	Croatia.Serbia_3900.to.2700BP	Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	Croatia.Serbia_3900.to.2700BP	0.079097
I24638	I24638	Grave 16; P8322	This study	Direct: IntCal20	2658	77	795-567 calBCE (2545±20 BP, UCIAMS-169835)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	3.427	779342	M	n/a (no relatives detected)	J-Y86930	J2b2a1a1a1b2~	U5a1g	ds.half	S24638.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.795	0.012	0.297769	0.083	0.549	0.368	0.013	0.018	0.021	17.5	0.297769	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.477101
I24639	I24639	Grave 15; P8323	This study	Direct: IntCal20	2658	77	795-567 cal BCE (2545±20 BP, UCIAMS-172396)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	6.469	787553	M	n/a (no relatives detected)	J-Y86930	J2b2a1a1a1b2~	H1	ds.half	S24639.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.78	0.012	0.008217	0.073	0.538	0.389	0.013	0.017	0.02	19.5	0.008217	Use	Ignore_Croatia.Serbia_IA	Ignore_Serbia_IA	Ignore_Croatia.Serbia_IA	Croatia.Serbia_IA	0.252706
I26742	I26742	JAZ '09, sonda D, beneath G01; P9184	This study	Context: Archaeological - Layer date	2650	58	800-600 BCE	Croatia_EIA	Jazinka Cave	Croatia	43.705878	16.520021	1240K	1	9.714	925712	M	Jazinka Cave Family A (2 members) (I26742-I3313 are son-mother)	..	..	HV0e	ds.half	S26742.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.83	0.011	0.058913	0.051	0.591	0.358	0.013	0.017	0.02	17.9	0.058913	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.05208
I23904	I23904	Grave 17; P7730	This study	Direct: IntCal20	2642	75	789-568 calBCE (2535±15 BP, UCIAMS-169836)	Croatia_EIA	Smiljan	Croatia	44.555384	15.310516	1240K	1	4.367	807776	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.half	S23904.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.84	0.011	0.27241	0.029	0.561	0.41	0.013	0.017	0.02	20.5	0.27241	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.08157
I24882	I24882	Grave 3; P8443	This study	Direct: IntCal20	2599	67	774-549 calBCE (2510±15 BP, UCIAMS-179777)	Croatia_EIA	Mala Metaljka	Croatia	45.173585	16.124298	1240K	1	5.431	817578	M	n/a (no relatives detected)	..	..	H	ds.half	S24882.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.781	0.013	0.661153	0.083	0.551	0.366	0.014	0.017	0.021	17.4	0.661153	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.848456
I24879	I24879	Grave 3; P8440	This study	Direct: IntCal20	2599	67	774-549 calBCE (2510±15 BP, UCIAMS-135086)	Croatia_EIA	Skradnik-Sultanov grob	Croatia	45.21455	15.315809	1240K	1	4.741	807701	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H5	ds.half	S24879.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.775	0.012	0.815555	0.087	0.532	0.382	0.013	0.017	0.02	19.1	0.815555	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.00925
I26735	I26735	PU 334; P9180_M-RT	This study	Context: Archaeological - Period	2050	29	150-50 BCE	Croatia_LIA_LaTene	Osijek (Vojarna/Faculty of Education)	Croatia	45.55101	18.746617	1240K	1	11.582	912684	M	n/a (no relatives detected)	..	..	J1c12	ds.half	S26735.Y1.E1.L1	PASS	..	1	1	1	1	1	Croatia.Serbia	Croatia	IA	0	0.782	0.012	0.823434	0.082	0.535	0.383	0.013	0.017	0.021	18.2	0.823434	Use	Croatia.Serbia_IA	Serbia_IA	Croatia.Serbia_IA	Croatia.Serbia_IA	0.287217
I7951	I7951	HOST_20, P7A-18516	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_N_oWHG	Central Bohemia, Prague-West, Hostivice-Sadová	Czech Republic	50.080832	14.245241	1240K	1	0.527841	417054	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U8b1a1	ds.half	S7951.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.522679	0.967	0.012	0.490302	0.043	0.976	-0.019	0.015	0.017	0.02	-1	0.522679	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_highEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.025447
I7952	I7952	HOST_273, P7A-18522	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_N	Central Bohemia, Prague-West, Hostivice-Sadová	Czech Republic	50.080832	14.245241	1240K	1	5.162873	850599	M	n/a (no relatives detected)	I-CTS10057	I2a1b1a2	N1a1a	ds.half	S7952.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.604355	0.967	0.012	0.318301	0.033	0.959	0.007	0.014	0.016	0.018	0.4	0.604355	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_highEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.003073
I15648	I15648	15/58, P7A-32256, S XIV J403 (P1766)	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_N	N Bohemia, Mladá Boleslav, Mužský-Hrada (Hrada site, Dneboh cadastre)	Czech Republic	49.991622	14.162575	1240K	1	0.890957	561259	M	n/a (no relatives detected)	R-V2219	R1b	K1a+195	ss.half	S15648.Y1.E1.L1	PASS	mtcontam=[0.695,0.886], Xcontam=[0,0.005]	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.143314	0.783	0.014	0.367957	0.205	0.763	0.032	0.016	0.017	0.018	1.8	0.367957	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_lowEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0
I15819	I15819	40, P7A-42049 (P1647)	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_N	N Moravia, Prostějov, Kralice na Hané	Czech Republic	49.466353	17.185354	1240K	1	0.274285	269827	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1a3a3	ss.half	S15819.Y1.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.2267	0.927	0.014	0.679514	0.09	0.945	-0.036	0.016	0.019	0.021	-1.7	0.679514	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.323731
I15818	I15818	145-150/44, P7A-7557, 155 (P1646)	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_EN_LBK	NW Bohemia, Teplice, Bžany	Czech Republic	50.590618	13.876321	1240K	1	2.651959	750054	F	n/a (no relatives detected)	n/a (female)	n/a (female)	HV0a	ss.half	S15818.Y1.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.346018	0.983	0.011	0.58732	0.009	0.965	0.025	0.013	0.016	0.017	1.5	0.58732	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_highEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0
I15821	I15821	III, P7A-16552, obj. 585, 288/98 (P1649)	This study	Context: Archaeological - Period	7200	144	5500-5000 BCE	Czech_N_lc	W Bohemia, Plzeň-City, Plzeň-Křimice	Czech Republic	49.756359	13.308356	1240K	1	0.005286	6179	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	ss.half	S15821.Y1.E1.L1	PASS	..	0	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.980285	0.83	0.051	0.919839	0.178	0.838	-0.016	0.063	0.079	0.099	-0.2	0.980285	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_8100.to.6200BP	Ignore_CzechRepublic_8100.to.6200BP	Ignore_CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.404893
I7950	I7950	HOST_1021, P7A-17702	This study	Context: Archaeological - Period	6950	289	5500-4500 BCE	Czech_N_oWHG	Central Bohemia, Prague-West, Hostivice-Palouky	Czech Republic	50.07884	14.280243	1240K	1	5.199213	818488	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H	ds.half	S7950.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.913954	0.817	0.013	0.743633	0.183	0.809	0.008	0.014	0.017	0.018	0.4	0.913954	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_lowEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0
I15650	I15650	SIII/2, 17692, obj. 562, P7A-17692 (P1768)	This study	Context: Archaeological - Period	6950	289	5500-4500 BCE	Czech_N_possible	Central Bohemia, Prague-West, Hostivice-Palouky	Czech Republic	50.07884	14.280243	1240K	1	1.907318	680541	M	n/a (no relatives detected)	R-L754	R1b	H1	ss.half	S15650.Y1.E1.L1	PASS	Xcontam=[0.005,0.013]	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.244286	0.784	0.013	0.492224	0.206	0.765	0.029	0.015	0.017	0.018	1.6	0.492224	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_lowEEF	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0
kol6-ALL_DATA.SG	kol006	Kolin6	SanchezQuintoPNAS2019	Direct: IntCal20	6775	43	4929-4726 calBCE (5950±25 BP, UGAMS-9615)	Czech_MN.SG	Kolín	Czech Republic	50.028889	15.201157	Shotgun	10	1.437478	777504	F	n/a (no relatives detected)	n/a (female)	n/a (female)	W1+119	ds.minus,ds.plus	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.11096	0.916	0.013	0.124207	0.076	0.897	0.027	0.015	0.017	0.018	1.5	0.124207	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP_highSteppe	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.002747
I14190	I14190	70A, P7A-16070 (P1181)	This study	Context: Date(s) on 2d/3d relative I7197	6450	58	4600-4400 BCE	Czech_MN	Central Bohemia, Prague 5, Prague-Jinonice (Holmanʼs Garden Centre)	Czech Republic	50.054385	14.363387	1240K	1	3.466446	812342	M	n/a (no relatives detected)	I-S21825	I2a1a1b	T2e	ds.half	S14190.Y1.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.663695	0.91	0.013	0.683148	0.087	0.898	0.016	0.015	0.016	0.017	0.9	0.683148	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.64188
I4894	I4894	feature 552 / Grave 18	OlaldeNature2018	Direct: IntCal20	6371	38	4494-4361 calBCE (5610±20 BP, PSUAMS-2851)	Czech_N	Prague 8, Kobylisy, Ke Stírce Street	Czech Republic	50.1217475	14.4569508	1240K	1	4.046	816378	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U8b1b1	ds.half	S4894.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.732033	0.914	0.013	0.58824	0.084	0.904	0.012	0.014	0.016	0.017	0.7	0.732033	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.856424
I4893	I4893	feature 552 / Grave 17	OlaldeNature2018	Direct: IntCal20	6345	31	4446-4347 calBCE (5550±20 BP, PSUAMS-2850)	Czech_N	Prague 8, Kobylisy, Ke Stírce Street	Czech Republic	50.1217475	14.4569508	1240K	1	5.311	818843	M	n/a (no relatives detected)	G-PF3148	G2a2a1	U5b1+16189+@16192	ds.half	S4893.E1.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Czech Republic	N	0.113254	0.919	0.012	0.128372	0.072	0.902	0.026	0.014	0.016	0.017	1.5	0.128372	Use	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	CzechRepublic.Slovakia.Germany_8100.to.6200BP	0.633911
